Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Рапс озимый;7653055;00 БВ 156 МС;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Кукуруза;8653956;01 ИНЛ 1;2014;*;линия;-;-;среднепоздний;-;-;-;
Рапс озимый;7653054;04 ФР 028 МС;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Кукуруза;7754937;06 ЦДХ 0766;2023;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8152984;09 ИР;2019;*;линия;-;-;средний (среднеспелый);-;-;-;10152
Кукуруза;8355570;0997;2017;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8355568;0997 МС;2017;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7952942;1 ПГЖН 21;2021;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7852909;1 ПЙВЦ 69;2022;*;линия;-;-;среднеранний;-;-;-;
Перец сладкий;8261286;1/15;2019;*;гибрид первого поколения;-;-;ранний (раннеспелый);-;садово-огородный;цилиндрическая;
Пшеница мягкая яровая;8058807;100 ЛЕТ ТАССР;2023;7, 9;-;ценная(ый) по качеству;-;средний (среднеспелый);-;-;-;12390
Свекла сахарная;9462978;1007;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462979;1007-1;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462981;1008;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462982;1008-1;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462984;1030;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462986;1030-1;2005;*;линия;-;-;-;-;-;-;
Кукуруза;8953203;1040;2010;*;линия;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;8058655;1082 СТ;2020;*;родительский компонент;-;-;-;-;-;-;11378
Подсолнечник;7754860;11 ИС 34 Р;2023;*;линия;-;-;-;-;-;-;
Подсолнечник;8058653;1100 ИМИ;2020;*;родительский компонент;-;-;-;-;-;-;11377
Подсолнечник;7954315;1100 СТ;2022;*;родительский компонент;-;-;-;-;-;-;12674
Подвои винограда;7953133;1103 ПОЛСЕН;2020;*;-;-;-;-;-;-;-;
Кукуруза;8261272;117 ЦБ 343;2018;*;линия;-;-;ранний (раннеспелый);-;-;-;
Кукуруза;7754361;118 МВ;2023;*;родительский компонент;-;-;очень ранний;-;-;-;
Кукуруза;8154291;118 МЦ 248;2020;*;линия;-;-;ранний (раннеспелый);-;-;-;11227
Кукуруза;7652880;118 НС;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8556950;118601 НС;2015;*;линия;-;-;среднеранний;-;-;-;
Подсолнечник;7754859;13 ИС 2615 А;2023;*;линия;-;-;-;-;-;-;
Шампиньон двуспоровый;9806342;130;1999;*;-;-;-;-;-;-;-;
Подсолнечник;8058657;1301 СТ;2020;*;родительский компонент;-;-;-;-;-;-;11376
Подсолнечник;8756184;13013;2012;*;линия;-;-;-;-;-;-;
Подсолнечник;7954317;1349 ИМИ;2022;*;родительский компонент;-;-;-;-;-;-;12673
Подсолнечник;7954311;1349 СТ;2022;*;родительский компонент;-;-;-;-;-;-;12672
Подсолнечник;9154751;135;2011;7;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8852981;1362 ВС;2011;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8154285;14 Б 001;2020;*;линия;-;-;очень ранний;-;-;-;
Кукуруза;8556951;14 НС;2015;*;линия;-;-;среднеранний;-;-;-;
Подсолнечник;8557580;14 ТР 006;2017;5;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;9463138;14271;2005;*;линия;-;-;-;-;-;-;
Редис;8557878;15 ДНЕЙ;2015;*;-;-;-;от очень раннего до раннего;-;садово-огородный;округлая;
Подсолнечник;7754083;15048;2022;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;7953548;156 ЛА 337;2021;*;линия;-;-;от очень раннего до раннего;-;-;-;
Кукуруза;7953549;156 ЛА 337 Х 14 Б 001;2021;*;простой гибрид;-;-;от очень раннего до раннего;-;-;-;
